10,1,30,0;
10,2,30,0;
10,3,20,0;
10,4,9,0;
10,5,1,0;
10,6,1,0;
10,7,1,0;
10,8,1,0;
10,9,5,0;
11,1,30,0;
11,2,30,0;
11,3,29,0;
11,4,16,0;
11,5,7,0;
11,6,5,0;
11,7,2,0;
11,8,1,0;
11,9,4,0;
11,10,5,0;
12,1,30,0;
12,2,30,0;
12,3,30,0;
12,4,25,0;
12,5,13,0;
12,6,4,0;
12,7,1,0;
12,8,1,0;
12,9,0,0;
12,10,1,0;
12,11,5,0;
13,1,30,0;
13,2,30,0;
13,3,30,0;
13,4,28,0;
13,5,15,0;
13,6,7,0;
13,7,4,0;
13,8,2,0;
13,9,1,0;
13,10,0,0;
13,11,1,0;
13,12,4,0;
14,1,30,0;
14,2,30,0;
14,3,30,0;
14,4,30,0;
14,5,27,0;
14,6,17,0;
14,7,3,0;
14,8,3,0;
14,9,0,0;
14,10,0,0;
14,11,1,0;
14,12,2,0;
14,13,4,0;
15,1,30,0;
15,2,30,0;
15,3,30,0;
15,4,30,0;
15,5,30,0;
15,6,20,0;
15,7,7,0;
15,8,3,0;
15,9,1,0;
15,10,0,0;
15,11,0,0;
15,12,0,0;
15,13,1,0;
15,14,4,0;
16,1,30,0;
16,2,30,0;
16,3,30,0;
16,4,30,0;
16,5,30,0;
16,6,29,0;
16,7,21,0;
16,8,7,0;
16,9,3,0;
16,10,2,0;
16,11,2,0;
16,12,0,0;
16,13,1,0;
16,14,0,0;
16,15,4,0;
17,1,30,0;
17,2,30,0;
17,3,30,0;
17,4,30,0;
17,5,30,0;
17,6,30,0;
17,7,24,0;
17,8,15,0;
17,9,8,0;
17,10,1,0;
17,11,2,0;
17,12,2,0;
17,13,0,0;
17,14,0,0;
17,15,0,0;
17,16,6,1;
18,1,30,0;
18,2,30,0;
18,3,30,0;
18,4,30,0;
18,5,30,0;
18,6,30,0;
18,7,30,0;
18,8,23,0;
18,9,12,0;
18,10,4,0;
18,11,2,0;
18,12,1,0;
18,13,1,0;
18,14,1,0;
18,15,0,0;
18,16,0,0;
18,17,4,4;
19,1,30,0;
19,2,30,0;
19,3,30,0;
19,4,30,0;
19,5,30,0;
19,6,30,0;
19,7,30,0;
19,8,28,0;
19,9,17,0;
19,10,9,0;
19,11,4,0;
19,12,0,0;
19,13,0,0;
19,14,1,0;
19,15,0,0;
19,16,0,0;
19,17,0,0;
19,18,2,11;
20,1,30,0;
20,2,30,0;
20,3,30,0;
20,4,30,0;
20,5,30,0;
20,6,30,0;
20,7,30,0;
20,8,30,0;
20,9,26,0;
20,10,13,0;
20,11,4,0;
20,12,1,0;
20,13,0,0;
20,14,1,0;
20,15,0,0;
20,16,0,0;
20,17,0,0;
20,18,0,1;
20,19,2,18;
21,1,30,0;
21,2,30,0;
21,3,30,0;
21,4,30,0;
21,5,30,0;
21,6,30,0;
21,7,30,0;
21,8,30,0;
21,9,29,0;
21,10,22,0;
21,11,11,0;
21,12,3,0;
21,13,1,0;
21,14,1,0;
21,15,0,0;
21,16,1,0;
21,17,0,0;
21,18,0,0;
21,19,0,5;
21,20,1,22;
22,1,30,0;
22,2,30,0;
22,3,30,0;
22,4,30,0;
22,5,30,0;
22,6,30,0;
22,7,30,0;
22,8,30,0;
22,9,30,0;
22,10,29,0;
22,11,23,0;
22,12,14,0;
22,13,2,0;
22,14,2,0;
22,15,0,0;
22,16,0,0;
22,17,1,0;
22,18,0,0;
22,19,0,0;
22,20,2,9;
22,21,0,27;
23,1,30,0;
23,2,30,0;
23,3,30,0;
23,4,30,0;
23,5,30,0;
23,6,30,0;
23,7,30,0;
23,8,30,0;
23,9,30,0;
23,10,30,0;
23,11,27,0;
23,12,19,0;
23,13,10,0;
23,14,4,0;
23,15,0,0;
23,16,0,0;
23,17,0,0;
23,18,0,0;
23,19,1,0;
23,20,1,1;
23,21,0,16;
23,22,1,27;
24,1,30,0;
24,2,30,0;
24,3,30,0;
24,4,30,0;
24,5,30,0;
24,6,30,0;
24,7,30,0;
24,8,30,0;
24,9,30,0;
24,10,30,0;
24,11,30,0;
24,12,23,0;
24,13,16,0;
24,14,8,0;
24,15,4,0;
24,16,1,0;
24,17,1,0;
24,18,0,0;
24,19,0,0;
24,20,0,0;
24,21,0,12;
24,22,0,25;
24,23,0,28;
25,1,30,0;
25,2,30,0;
25,3,30,0;
25,4,30,0;
25,5,30,0;
25,6,30,0;
25,7,30,0;
25,8,30,0;
25,9,30,0;
25,10,30,0;
25,11,29,0;
25,12,30,0;
25,13,24,0;
25,14,17,0;
25,15,7,0;
25,16,4,0;
25,17,1,0;
25,18,2,0;
25,19,1,0;
25,20,0,0;
25,21,0,1;
25,22,0,12;
25,23,0,27;
25,24,0,29;
26,1,30,0;
26,2,30,0;
26,3,30,0;
26,4,30,0;
26,5,30,0;
26,6,30,0;
26,7,30,0;
26,8,30,0;
26,9,30,0;
26,10,30,0;
26,11,30,0;
26,12,29,0;
26,13,30,0;
26,14,25,0;
26,15,8,0;
26,16,4,0;
26,17,1,0;
26,18,1,0;
26,19,0,0;
26,20,1,0;
26,21,0,1;
26,22,0,7;
26,23,0,21;
26,24,0,29;
26,25,0,30;
27,1,30,0;
27,2,30,0;
27,3,30,0;
27,4,30,0;
27,5,30,0;
27,6,30,0;
27,7,30,0;
27,8,30,0;
27,9,30,0;
27,10,30,0;
27,11,30,0;
27,12,30,0;
27,13,30,0;
27,14,26,0;
27,15,24,0;
27,16,6,0;
27,17,4,0;
27,18,0,0;
27,19,2,0;
27,20,1,0;
27,21,0,0;
27,22,0,1;
27,23,0,14;
27,24,0,26;
27,25,0,29;
27,26,0,30;
28,1,30,0;
28,2,30,0;
28,3,30,0;
28,4,30,0;
28,5,30,0;
28,6,30,0;
28,7,30,0;
28,8,30,0;
28,9,30,0;
28,10,30,0;
28,11,30,0;
28,12,30,0;
28,13,30,0;
28,14,30,0;
28,15,26,0;
28,16,20,0;
28,17,6,0;
28,18,4,0;
28,19,2,0;
28,20,0,0;
28,21,0,0;
28,22,1,0;
28,23,0,6;
28,24,1,21;
28,25,0,27;
28,26,0,30;
28,27,0,30;
29,1,30,0;
29,2,30,0;
29,3,30,0;
29,4,30,0;
29,5,30,0;
29,6,30,0;
29,7,30,0;
29,8,30,0;
29,9,30,0;
29,10,30,0;
29,11,30,0;
29,12,30,0;
29,13,30,0;
29,14,30,0;
29,15,30,0;
29,16,24,0;
29,17,15,0;
29,18,7,0;
29,19,4,0;
29,20,2,0;
29,21,0,0;
29,22,0,0;
